All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturated,Insaturated,Acids,Bases,Alcohols,Aminoderivatives,Amides,Aldehydes,Carbohydrates,Amino acids,Alkaloids
Glyceryl-glycoside ether,Glyceryl-glycoside ether,Amides,"An organic compound containing the group —C(O)NH2, derived from ammonia by replacement of a hydrogen atom by an acyl group.",,,,,,,,,,,,,
Glucopyranose,Glucopyranose,Aldehydes,"Aldehyde, any of a class of organic compounds in which a carbon atom shares a double bond with an oxygen atom, a single bond with a hydrogen atom, and a single bond with another atom or group of atoms . The double bond between carbon and oxygen is characteristic of all aldehydes and is known as the carbonyl group. Many aldehydes have pleasant odours, and in principle, they are derived from alcohols by dehydrogenation (removal of hydrogen), from which process came the name aldehyde.",,,,,,,,,,,,,
5-0-Coumaroyl-D-quinic acid,5-0-Coumaroyl-D-quinic acid,Carbohydrates,"As a chemical term, “sugar” usually refers to all carbohydrates of the general formula Cn(H2O)n. Sucrose is a disaccharide, or double sugar, being composed of one molecule of glucose linked to one molecule of fructose. Because one molecule of water (H2O) is lost in the condensation reaction linking glucose to fructose, sucrose is represented by the formula C12H22O11 (following the general formula Cn[H2O]n − 1).",,,,,,,,,,,,,
Galactinol,Galactinol,Amino acids,"Amino acid, any of a group of organic molecules that consist of a basic amino group (―NH2), an acidic carboxyl group (―COOH), and an organic R group (or side chain) that is unique to each amino acid. The term amino acid is short for α-amino [alpha-amino] carboxylic acid. Each molecule contains a central carbon (C) atom, called the α-carbon, to which both an amino and a carboxyl group are attached. The remaining two bonds of the α-carbon atom are generally satisfied by a hydrogen (H) atom and the R group.",,,,,,,,,,,,,
4-0-Coumaroyl-D-quinic acid,4-0-Coumaroyl-D-quinic acid,Alkaloids,"Alkaloid, any of a class of naturally occurring organic nitrogen-containing bases. Alkaloids have diverse and important physiological effects on humans and other animals. Well-known alkaloids include morphine, strychnine, quinine, ephedrine, and nicotine.
Alkaloids are found primarily in plants and are especially common in certain families of flowering plants. In fact, as many as one-quarter of higher plants are estimated to contain alkaloids, of which several thousand different types have been identified. In general, a given species contains only a few kinds of alkaloids, though both the opium poppy (Papaver somniferum) and the ergot fungus (Claviceps) each contain about 30 different types. Certain plant families are particularly rich in alkaloids; all plants of the poppy family (Papaveraceae) are thought to contain them, for example. The Ranunculaceae (buttercups), Solanaceae (nightshades), and Amaryllidaceae (amaryllis) are other prominent alkaloid-containing families. A few alkaloids have been found in animal species, such as the New World beaver (Castor canadensis) and poison-dart frogs (Phyllobates). Ergot and a few other fungi also produce them.
",,,,,,,,,,,,,
3-0-Coumaroyl-D-quinic acid,3-0-Coumaroyl-D-quinic acid,,,,,,,,,,,,,,,
Chlorogenic acid,Chlorogenic acid,,,,,,,,,,,,,,,
4-Hydroxycinnamic acid,4-Hydroxycinnamic acid,,,,,,,,,,,,,,,
delta. Amino levulinic acid tri-,delta. Amino levulinic acid tri-,,,,,,,,,,,,,,,
Dotriacontane,Dotriacontane,,,,,,,,,,,,,,,
gluconic acid lactonel,gluconic acid lactonel,,,,,,,,,,,,,,,
"Silanol, trimethyl-, phosphate (3:1)","Silanol, trimethyl-, phosphate (3:1)",,,,,,,,,,,,,,,
"2,3,4-Trihydroxybutyric acid","2,3,4-Trihydroxybutyric acid",,,,,,,,,,,,,,,
"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-","8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",,,,,,,,,,,,,,,
Phytol2,Phytol2,,,,,,,,,,,,,,,
Iminodiacetic Acid,Iminodiacetic Acid,,,,,,,,,,,,,,,
Petroselinic acid,Petroselinic acid,,,,,,,,,,,,,,,
Saturated,Saturated,,,,,,,,,,,,,,,
Insaturated,Insaturated,,,,,,,,,,,,,,,
Acids,Acids,,,,,,,,,,,,,,,
Bases,Bases,,,,,,,,,,,,,,,
Alcohols,Alcohols,,,,,,,,,,,,,,,
Aminoderivatives,Aminoderivatives,,,,,,,,,,,,,,,
Amides,Amides,,,,,,,,,,,,,,,
Aldehydes,Aldehydes,,,,,,,,,,,,,,,
Carbohydrates,Carbohydrates,,,,,,,,,,,,,,,
Amino acids,Amino acids,,,,,,,,,,,,,,,
Alkaloids,Alkaloids,,,,,,,,,,,,,,,
